vin,display_color,year,make,model,price,mileage,city,condition,dealer_name,state,trim,body_style
5YFBURHE9GP376147,Slate Metallic,2016,Toyota,Corolla,"$13,959","97,261 Miles",Cedar Falls,used,Dan Deery Toyota,IA,LE,sedan
5FNYF6H38LB001714,Blue,2020,Honda,Pilot,"$32,499","27,803 Miles",Stafford,used,Texas Direct Auto,TX,EX,suv
JN8AY2BA0M9374421,KAD Gun Metall,2021,Nissan,Armada,"$59,155",New,Scottsdale,new,Pinnacle Nissan,AZ,SL,suv
1C4RJFAG7MC775631,Billet Silver Metallic Clearcoat,2021,Jeep,Grand Cherokee,"$44,465",New,Virginia Beach,new,Hall Chrysler Dodge Jeep Ram Virginia Beach,VA,Laredo X,suv
KM8R24HE4LU057786,Hyper White,2020,Hyundai,Palisade,"$37,243","44,409 Miles",Houston,used,Big Star Honda,TX,SEL,suv
SAJBR4FX6JCY61663,Black,2018,Jaguar,XF,"$26,998","50,690 Miles",Huntsville,used,CarMax Huntsville - Now offering Curbside Pickup,AL,25t,sedan
ZARFAEEN5H7560162,Alfa White,2017,Alfa Romeo,Giulia,"$23,999","105,473 Miles",Stafford,used,Texas Direct Auto,TX,Ti,sedan
JTMWFREV5HD097007,Magnetic Gray Metallic,2017,Toyota,RAV4,"$22,533","57,591 Miles",Norfolk,used,Checkered Flag Honda,VA,XLE,suv
3HGGK5H8XJM730997,Gray,2018,Honda,Fit,"$17,998","48,600 Miles",Hillside,used,CarMax Hillside (Eisenhower Expy) - Now offering Curbside Pickup,IL,EX,hatchback
5N1AT3BA0MC809484,Black,2021,Nissan,Rogue,"$32,310",New,Hinesville,new,Vaden Nissan Of Hinesville,GA,SV,crossover
1V2LR2CA9JC578583,White,2018,Volkswagen,Atlas,"$33,950","29,424 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,V6 SE 4Motion,suv
1C4RJJBG6M8191483,Silver Zynith,2021,Jeep,Grand Cherokee L,"$48,805",New,Miami Lakes,new,Miami Lakes Automall,FL,Limited,suv
1HGCR3F85EA007949,White Orchid Pearl,2014,Honda,Accord,"$17,999","80,595 Miles",Stafford,used,Texas Direct Auto,TX,EX-L V6 w/Navi,sedan
1C4PJMBX4KD188305,Red,2019,Jeep,Cherokee,"$28,998","26,096 Miles",Saltillo,used,CarMax Tupelo - Now offering Curbside Pickup,MS,Trailhawk,suv
1FTEW1EG7GFA97009,Black,2016,Ford,F-150,"$39,499","54,505 Miles",Stafford,used,Texas Direct Auto,TX,Platinum,truck
5N1BA0ND2FN601435,Java Metallic,2015,Nissan,Armada,"$19,296","120,660 Miles",Houston,used,South Houston Nissan,TX,SL,suv
2T1BURHE2JC062685,Barcelona Red Metallic,2018,Toyota,Corolla,"$19,687","43,000 Miles",Phoenix,used,Camelback Toyota,AZ,LE,sedan
JF1VA2T64J9820860,Pure Red,2018,Subaru,WRX,"$33,499","32,426 Miles",Stafford,used,Texas Direct Auto,TX,STI Limited,sedan
WP1AA2A29GLA05170,Burgundy,2016,Porsche,Cayenne,"$40,998","39,919 Miles",Boynton Beach,used,CarMax Boynton Beach - Now offering Curbside Pickup and Home Delivery,FL,Base,suv
4T1B11HK1KU197673,Predawn Gray Mica,2019,Toyota,Camry,"$20,989","54,270 Miles",Philadelphia,used,Hertz Car Sales Philadelphia,PA,LE,sedan
