vin,display_color,year,make,model,price,mileage,city,condition,dealer_name,state,trim,body_style
WP1AA2A59HLB04454,Jet Black Metallic,2017,Porsche,Macan,"$39,499","46,216 Miles",Miami,used,Florida Fine Cars Miami,FL,Base,suv
1FTEX1EP1JFB61095,Shadow Black,2018,Ford,F-150,"$34,999","32,170 Miles",Miami,used,Florida Fine Cars Miami,FL,XLT,truck
3GKALPEV8KL250380,Red Quartz Tintcoat,2019,GMC,Terrain,"$24,097","48,618 Miles",Spokane,used,Avis Car Sales Spokane,WA,SLT,suv
2C3CDZFJ2KH684574,Sublime Pearlcoat,2019,Dodge,Challenger,"$46,299","9,981 Miles",Margate,used,Florida Fine Cars - Margate,FL,R/T Scat Pack,coupe
5FNYF6H0XHB090862,White Diamond Pearl,2017,Honda,Pilot,"$28,299","69,243 Miles",Margate,used,Florida Fine Cars - Margate,FL,Elite,suv
KMHTG6AF0KU006564,Chalk White,2019,Hyundai,Veloster,"$16,199","52,419 Miles",Miami,used,Florida Fine Cars Miami,FL,2.0L,coupe
1J8GP58K38W104061,Modern Blue Pearlcoat,2008,Jeep,Liberty,"$7,130","150,330 Miles",Scottsdale,used,Pinnacle Nissan,AZ,Limited,suv
1C6RR7NT4HS737315,Red,2017,Ram,Pickup 1500,"$41,499","52,216 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,Laramie,truck
3N1AB7AP3JL646949,Fresh Powder,2018,Nissan,Sentra,"$15,726","81,731 Miles",Peoria,used,Peoria Nissan,AZ,SV,sedan
WVGAV7AX8HK020812,Pure White,2017,Volkswagen,Tiguan,"$17,799","29,835 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,2.0T Limited S,suv
WAUB4AF47JA116432,Moonlight Blue Metallic,2018,Audi,S4,"$39,599","41,996 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,3.0T quattro Premium Plus,sedan
1C4SDJCT9LC114753,Black,2020,Dodge,Durango,"$47,999","26,103 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,R/T,suv
7FARW2H56KE048001,Obsidian Blue Pearl,2019,Honda,CR-V,"$25,299","25,794 Miles",Miami,used,Florida Fine Cars Miami,FL,EX,suv
WBA8E1C57JA178353,Jet Black,2018,BMW,3 Series,"$26,299","32,710 Miles",Margate,used,Florida Fine Cars - Margate,FL,330e iPerformance,sedan
1ZVBP8CF0E5265947,Ingot Silver Metallic,2014,Ford,Mustang,"$23,895","45,283 Miles",Miami,used,Florida Fine Cars Miami,FL,GT,coupe
1G11Z5S34LU102132,Black,2020,Chevrolet,Impala,"$22,997","39,738 Miles",Fort Lauderdale,used,Avis Car Sales Fort Lauderdale,FL,LT,sedan
3VW2B7AJ8HM250434,Pure White,2017,Volkswagen,Jetta,"$13,997","32,730 Miles",Margate,used,Florida Fine Cars - Margate,FL,1.4T S,sedan
3C6JR6DT9GG135590,Bright White Clearcoat,2016,Ram,Pickup 1500,"$19,498","67,394 Miles",Miami,used,Florida Fine Cars Miami,FL,Tradesman,truck
1GKS2CKJ8HR404461,Silver,2017,GMC,Yukon,"$54,950","59,106 Miles",Salem,used,Shift Northern Oregon - Test Drives Delivered to You,OR,Denali,suv
KNAGT4LEXH5016240,Aluminum Silver,2017,Kia,Optima Hybrid,"$16,999","58,702 Miles",Fontana,used,Fontana Motors Direct,CA,Premium,sedan
1C4HJWEG8JL927790,Bright White Clearcoat,2018,Jeep,Wrangler Unlimited,"$37,799","36,009 Miles",Margate,used,Florida Fine Cars - Margate,FL,Sahara,suv
SADFJ2FX9K1Z42508,Fuji White,2019,Jaguar,E-PACE,"$33,799","40,785 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,P250 S,suv
JTJBM7FX5H5163698,Nightfall Mica,2017,Lexus,GX 460,"$34,499","77,999 Miles",Margate,used,Florida Fine Cars - Margate,FL,Base,suv
1FTEW1EGXJKE54665,Guard Metallic,2018,Ford,F-150,"$39,499","33,440 Miles",Miami,used,Florida Fine Cars Miami,FL,XLT,truck
3C6UR5CJ1JG388658,Bright White Clear Coat,2018,Ram,Pickup 2500,"$40,499","41,198 Miles",Stafford,used,Texas Direct Auto,TX,Tradesman,truck
1GT49WEY8LF182010,Blue,2020,GMC,Sierra 3500HD,"$86,999","12,881 Miles",Marysville,used,Northwest Motorsport - Marysville,WA,Denali,truck
3MZBM1L76GM254988,Liquid Silver Metallic,2016,Mazda,Mazda3,"$15,299","30,416 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,i Touring,hatchback
3TMCZ5AN7JM162958,Blue,2018,Toyota,Tacoma,"$38,950","28,222 Miles",Salem,used,Shift Northern Oregon - Test Drives Delivered to You,OR,TRD Off-Road,truck
1C6RR6FT7KS682763,Granite Crystal Metallic Clearcoat,2019,Ram,Pickup 1500 Classic,"$24,995","45,643 Miles",Miami,used,Florida Fine Cars Miami,FL,Tradesman,truck
3VW6T7BU6KM225515,Pure Gray,2019,Volkswagen,Jetta,"$23,799","26,429 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,GLI S,sedan
WBXYJ3C37JEJ82441,Mineral Gray Metallic,2018,BMW,X2,"$28,698","30,758 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,sDrive28i,suv
5TFAY5F13GX521483,Black,2016,Toyota,Tundra,"$41,950","49,458 Miles",Sacramento,used,Shift Sacramento - Test Drives Delivered to You,CA,Platinum,truck
3TMAZ5CN2KM088242,Midnight Black Metallic,2019,Toyota,Tacoma,"$31,499","50,525 Miles",Miami,used,Florida Fine Cars Miami,FL,TRD Sport,truck
1C4HJXDGXJW165312,Granite Crystal Metallic Clearcoat,2018,Jeep,Wrangler Unlimited,"$35,795","38,215 Miles",Miami,used,Florida Fine Cars Miami,FL,Sport S,suv
4T1B11HK0KU792594,Silver,2019,Toyota,Camry,"$24,700","1,416 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,L,sedan
ZAM57XSA8H1248725,Bianco,2017,Maserati,Ghibli,"$35,399","45,416 Miles",Margate,used,Florida Fine Cars - Margate,FL,Base,sedan
3GNAXJEVXJS626246,Summit White,2018,Chevrolet,Equinox,"$19,799","34,531 Miles",Margate,used,Florida Fine Cars - Margate,FL,LT,suv
WDDUG6GB1JA361357,Iridium Silver Metallic,2018,Mercedes-Benz,S-Class,"$59,499","38,788 Miles",Miami,used,Florida Fine Cars Miami,FL,S 450,sedan
1FTEW1EP3KKC69584,Gray,2019,Ford,F-150,"$48,515","24,422 Miles",Spokane Valley,used,Northwest Motorsport - Spokane,WA,XLT,truck
1FTFW1EG5HKD90856,Gray,2017,Ford,F-150,"$41,999","57,203 Miles",Puyallup,used,Northwest Motorsport - Puyallup,WA,XLT,truck
1FADP3FE9JL318514,Lightning Blue Metallic,2018,Ford,Focus,"$11,599","62,270 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,SE,sedan
WBXYJ3C36JEJ84343,Glacier Silver Metallic,2018,BMW,X2,"$28,498","22,367 Miles",Miami,used,Florida Fine Cars Miami,FL,sDrive28i,suv
KM8K62AA0LU458205,Ultra Black,2020,Hyundai,Kona,"$22,399","5,147 Miles",Miami,used,Florida Fine Cars Miami,FL,SEL Plus,suv
19UUB2F50JA012317,Bellanova White Pearl,2018,Acura,TLX,"$24,199","30,389 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,V6 w/Tech,sedan
2GKFLNE31H6230882,Summit White,2017,GMC,Terrain,"$18,499","55,528 Miles",Miami,used,Florida Fine Cars Miami,FL,SLE-2,suv
WDDXJ8FB5GA014327,designo Mocha Black,2016,Mercedes-Benz,S-Class,"$71,990","28,050 Miles",Portland,used,D&C Motor Company,OR,S 550 4MATIC,coupe
1GCUYDED6LZ168948,Blue,2020,Chevrolet,Silverado 1500,"$52,999","30,744 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,LT,truck
1FTEW1EG5JFB61328,Lightning Blue,2018,Ford,F-150,"$45,999","38,057 Miles",Miami,used,Florida Fine Cars Miami,FL,Lariat,truck
2C3CDZJG0KH571427,White Knuckle Clearcoat,2019,Dodge,Challenger,"$29,299","24,907 Miles",Margate,used,Florida Fine Cars - Margate,FL,GT,coupe
5N1AZ2MH6JN135523,Gray,2018,Nissan,Murano,"$23,950","53,066 Miles",Salem,used,Shift Northern Oregon - Test Drives Delivered to You,OR,SV,suv
JM3TCADY3L0402665,Snowflake White Pearl Mica,2020,Mazda,CX-9,"$32,399","23,699 Miles",Miami,used,Florida Fine Cars Miami,FL,Grand Touring,suv
WDDUG6DB4HA293814,designo Diamond White Metallic,2017,Mercedes-Benz,S-Class,"$47,999","46,909 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,S 550e,sedan
JTJJM7FX3H5158690,Starfire Pearl,2017,Lexus,GX 460,"$38,499","41,279 Miles",Miami,used,Florida Fine Cars Miami,FL,Luxury,suv
1GKS2KE7XER185816,Black,2014,GMC,Yukon XL,"$29,499","80,085 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,SLT 1500,suv
KNALN4D74E5160600,Aurora Black,2014,Kia,Cadenza,"$16,950","75,930 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,Premium,sedan
1HGCV1F31KA023226,Platinum White Pearl,2019,Honda,Accord,"$23,999","36,766 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,Sport,sedan
1GNSCBKC0JR172438,Black,2018,Chevrolet,Tahoe,"$45,999","39,163 Miles",Fontana,used,Fontana Motors Direct,CA,LT,suv
WBA8E5G55JNU47282,Mineral White Metallic,2018,BMW,3 Series,"$20,499","68,854 Miles",Miami,used,Florida Fine Cars Miami,FL,320i xDrive,sedan
5XYZUDLB1HG435048,Sparkling Silver,2017,Hyundai,Santa Fe Sport,"$19,699","29,476 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,2.4L,suv
5NMS33AD1KH108472,Quartz White,2019,Hyundai,Santa Fe,"$23,299","22,446 Miles",Miami,used,Florida Fine Cars Miami,FL,SEL 2.4L,suv
1GKKNKLA9HZ243439,Gray,2017,GMC,Acadia,"$21,500","62,623 Miles",Salem,used,Shift Northern Oregon - Test Drives Delivered to You,OR,SLE-1,suv
JTEBU5JR5G5299288,Midnight Black Metallic,2016,Toyota,4Runner,"$37,999","61,257 Miles",Colton,used,IE Auto Exchange,CA,SR5,suv
2GKALMEK9E6260574,Crystal Red Tintcoat,2014,GMC,Terrain,"$13,614","93,559 Miles",Deland,used,Starling Chevrolet Deland,FL,SLE-1,suv
WBAJA5C30HG456312,Alpine White,2017,BMW,5 Series,"$28,498","59,957 Miles",Margate,used,Florida Fine Cars - Margate,FL,530i,sedan
3GKALPEV9KL239100,"White,summit",2019,GMC,Terrain,"$21,790","65,131 Miles",Lake In The Hills,used,Hertz Car Sales Crystal Lake,IL,SLT,suv
1C4BJWDG6GL183543,Black Clearcoat,2016,Jeep,Wrangler Unlimited,"$33,999","61,785 Miles",Montclair,used,Montclair Auto Exchange,CA,Sport,suv
SHHFK7H62MU404963,White,2021,Honda,Civic,"$27,900","3,360 Miles",Signal Hill,used,Long Beach Honda,CA,EX,hatchback
2HGFC2F83KH515567,Lunar Silver Metallic,2019,Honda,Civic,"$21,999","33,685 Miles",Montclair,used,IE Motors Direct,CA,Sport,sedan
WBA4J1C56JBG80908,Jet Black,2018,BMW,4 Series,"$28,799","39,652 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,430i Gran Coupe,sedan
1GC1KWE86FF659710,White,2015,Chevrolet,Silverado 2500HD,"$64,999","57,462 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,LTZ,truck
2C3CDZJG9KH699181,White Knuckle Clearcoat,2019,Dodge,Challenger,"$28,688","36,107 Miles",Placentia,used,SC MOTORS,CA,GT,coupe
WA1CNAFY5J2121737,Navarra Blue Metallic,2018,Audi,Q5,"$34,799","49,213 Miles",Margate,used,Florida Fine Cars - Margate,FL,2.0T quattro Prestige,suv
3TMCZ5AN9LM293814,Black,2020,Toyota,Tacoma,"$36,950","16,972 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,SR V6,truck
1FTEW1E54JKE97705,Black,2018,Ford,F-150,"$36,499","20,400 Miles",Stafford,used,Texas Direct Auto,TX,XLT,truck
3N1AB7AP5KY324334,Fresh Powder,2019,Nissan,Sentra,"$15,999","29,646 Miles",Montclair,used,IE Motors Direct,CA,SV,sedan
5YFBURHE4KP932681,Black Sand Pearl,2019,Toyota,Corolla,"$16,599","43,575 Miles",Margate,used,Florida Fine Cars - Margate,FL,LE,sedan
5TFUY5F15KX852619,Magnetic Gray Metallic,2019,Toyota,Tundra,"$36,999","49,734 Miles",Fullerton,used,OC Auto Exchange,CA,SR5,truck
1VWLA7A33KC005784,Pure White,2019,Volkswagen,Passat,"$20,499","43,855 Miles",Stafford,used,Texas Direct Auto,TX,2.0T Wolfsburg,sedan
3HGGK5H41JM732361,Aegean Blue Metallic,2018,Honda,Fit,"$13,995","32,599 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,LX,hatchback
1G1PL5SC7C7162108,Summit White,2012,Chevrolet,Cruze,"$10,000","100,085 Miles",Phoenix,used,Camelback Toyota,AZ,LT,sedan
1GCGTEEN0J1287472,Black,2018,Chevrolet,Colorado,"$42,999","58,625 Miles",Boise,used,Northwest Motorsports - Boise,ID,ZR2,truck
WBAJE5C50JWA96110,Mineral White Metallic,2018,BMW,5 Series,"$36,999","45,995 Miles",Miami,used,Florida Fine Cars Miami,FL,540i,sedan
3C6JR6CT5HG513620,Delmonico Red Pearlcoat,2017,Ram,Pickup 1500,"$38,899","45,587 Miles",Santa Ana,used,California Motors Direct1,CA,Sport,truck
1GCRCREC4JZ327259,Black,2018,Chevrolet,Silverado 1500,"$31,999","30,120 Miles",Downey,used,California Motor Trend,CA,LT,truck
3CZRU5H59NM705211,Modern Steel,2022,Honda,HR-V,"$25,845",New,Delray Beach,new,Delray Honda,FL,EX 2WD,suv
2T3P1RFV5KW026725,Super White,2019,Toyota,RAV4,"$29,050","51,364 Miles",Philadelphia,used,Hertz Car Sales Philadelphia,PA,XLE,suv
3GYFNBE30FS615993,Platinum Ice Tricoat,2015,Cadillac,SRX,"$21,565","60,660 Miles",Phoenix,used,Camelback Toyota,AZ,Luxury Collection,suv
JTJBM7FX6J5187241,Silver,2018,Lexus,GX 460,"$45,999","31,174 Miles",Lynnwood,used,Northwest Motorsport - Snohomish,WA,Base,suv
5YFBURHE4KP868478,Falcon Gray Metallic,2019,Toyota,Corolla,"$16,099","54,320 Miles",Montclair,used,Montclair Auto Exchange,CA,LE,sedan
JM3KFABM9J0339684,Snowflake White Pearl Mica,2018,Mazda,CX-5,"$22,299","46,019 Miles",Montclair,used,Montclair Auto Exchange,CA,Sport,suv
3FA6P0LU8JR260609,Lightning Blue,2018,Ford,Fusion Hybrid,"$20,299","8,545 Miles",Fontana,used,Fontana Motors Direct,CA,SE,sedan
YV4102RL9J1045721,Onyx Black Metallic,2018,Volvo,XC60,"$36,999","32,238 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,T5 Inscription,suv
1FTEW1CP0JKC69432,Ingot Silver,2018,Ford,F-150,"$28,499","102,858 Miles",Stafford,used,Texas Direct Auto,TX,XLT,truck
1C6JJTBG0LL120632,White,2020,Jeep,Gladiator,"$62,999","19,033 Miles",Boise,used,Northwest Motorsports - Boise,ID,Rubicon,truck
3C6UR5DL2KG605524,White,2019,Ram,Pickup 2500,"$63,999","36,038 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,Big Horn,truck
1G6AE5SS2H0112475,Black Raven,2017,Cadillac,ATS,"$26,199","17,841 Miles",Margate,used,Florida Fine Cars - Margate,FL,3.6L Premium Luxury,sedan
5N1AZ2MS0KN147454,Black,2019,Nissan,Murano,"$34,999","11,904 Miles",Puyallup,used,Northwest Motorsport - Puyallup,WA,SL,suv
WBA3D3C52EK155345,White,2014,BMW,3 Series,"$15,500","92,740 Miles",Oceanside,used,Shift San Diego - Test Drives Delivered to You,CA,328d,sedan
3C63R2AL9HG743035,Brilliant Black Crystal Pearlcoat,2017,Ram,Pickup 3500,"$38,499","42,994 Miles",Miami,used,Florida Fine Cars Miami,FL,Tradesman,truck
WP0AB2A97FS125520,Black,2015,Porsche,911,"$76,999","39,141 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,Carrera S,coupe
1GKS1CE06CR168424,WHITE,2012,GMC,Yukon,"$16,995","148,531 Miles",Walker,used,Southeast Auto Inc,LA,SLT,suv
5NMS5CAD2LH179479,Earthy Bronze,2020,Hyundai,Santa Fe,"$36,499","4,793 Miles",Stafford,used,Texas Direct Auto,TX,Limited,suv
WDDZF4JB8JA306894,Iridium Silver Metallic,2018,Mercedes-Benz,E-Class,"$34,799","40,943 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,E 300,sedan
1C4BJWDG5JL813771,Billet Silver Metallic Clearcoat,2018,Jeep,Wrangler Unlimited,"$34,499","30,690 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,Sport S,suv
3GCPCREC4HG407873,Graphite Metallic,2017,Chevrolet,Silverado 1500,"$40,999","21,749 Miles",Norco,used,Corona Motors Direct,CA,LT,truck
2T3WFREV5GW303217,Black,2016,Toyota,RAV4,"$19,950","64,899 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,XLE,suv
JN1BJ0RP8HM390424,Majestic White,2017,Infiniti,QX50,"$19,599","70,348 Miles",Margate,used,Florida Fine Cars - Margate,FL,Base,crossover
3C4NJCBB8JT266633,White Clearcoat,2018,Jeep,Compass,"$18,499","57,104 Miles",Margate,used,Florida Fine Cars - Margate,FL,Latitude,suv
3TMCZ5AN4JM136429,Midnight Black Metallic,2018,Toyota,Tacoma,"$31,998","58,694 Miles",Miami,used,Florida Fine Cars Miami,FL,SR5 V6,truck
2T3BF4DV4CW205339,Silver,2012,Toyota,RAV4,"$16,495","49,155 Miles",Newtown Square,used,Auto Lenders Newtown Square,PA,Base,suv
1C4RJFCG9JC286284,True Blue Pearl Coat,2018,Jeep,Grand Cherokee,"$40,499","29,806 Miles",Stafford,used,Texas Direct Auto,TX,High Altitude,suv
5UXKR2C53J0Z20271,Dark Graphite Metallic,2018,BMW,X5,"$34,999","59,766 Miles",Margate,used,Florida Fine Cars - Margate,FL,sDrive35i,suv
JTHBF1D28F5049062,White,2015,Lexus,IS 250,"$23,950","54,905 Miles",Sacramento,used,Shift Sacramento - Test Drives Delivered to You,CA,Base,sedan
2HGFC1E5XLH703215,Lunar Silver Metallic,2020,Honda,Civic,"$26,999","17,245 Miles",Stafford,used,Texas Direct Auto,TX,Si,sedan
4S4BP61C967346026,Blue,2006,Subaru,Outback,"$9,950","121,225 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,2.5i,crossover
JTMDWRFV3KJ027312,Blizzard Pearl,2019,Toyota,RAV4 Hybrid,"$41,999","5,049 Miles",Stafford,used,Texas Direct Auto,TX,Limited,suv
1FTFW1E89MFC49347,Oxford White,2021,Ford,F-150,"$52,835",New,American Fork,new,Ken Garff Ford American Fork,UT,XLT,truck
KMHGN4JF6FU027338,Gray,2015,Hyundai,Genesis,"$21,250","59,822 Miles",Sacramento,used,Shift Sacramento - Test Drives Delivered to You,CA,5.0L,sedan
JTHBE1BL1FA015969,White,2015,Lexus,GS 350,"$28,999","57,578 Miles",Stafford,used,Texas Direct Auto,TX,Base,sedan
NMTKHMBX1JR014246,Black Sand Pearl,2018,Toyota,C-HR,"$19,498","47,670 Miles",Miami,used,Florida Fine Cars Miami,FL,XLE,crossover
2C3CCAAG4KH568938,Red,2019,Chrysler,300,"$27,999","18,870 Miles",Puyallup,used,Northwest Motorsport - Puyallup,WA,Touring,sedan
WAUJEGFF0KA118473,Silver,2019,Audi,A3,"$31,400","11,442 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,2.0T quattro Premium Plus,sedan
KNDCB3LC8J5108191,Deep Cerulean,2018,Kia,Niro,"$17,599","31,253 Miles",Margate,used,Florida Fine Cars - Margate,FL,LX,crossover
JTHBE1D28E5002907,Black,2014,Lexus,IS 350,"$22,950","75,837 Miles",Commerce,used,Shift LA - Test Drives Delivered to You,CA,Base,sedan
2HGFC1E52KH700839,White,2019,Honda,Civic,"$25,499","49,841 Miles",Stafford,used,Texas Direct Auto,TX,Si,sedan
3C63R3CJXHG739724,Silver,2017,Ram,Pickup 3500,"$42,998","62,615 Miles",Lynchburg,used,CarMax Lynchburg - Now offering Curbside Pickup,VA,Tradesman,truck
3TMBZ5DN4KM022553,GREY,2019,Toyota,Tacoma,"$38,299","43,446 Miles",Norco,used,Corona Motors Direct,CA,SR5 V6,truck
5TDYZ3DC4HS833405,White,2017,Toyota,Sienna,"$32,998","48,846 Miles",Norcross,used,CarMax Norcross - Now offering Curbside Pickup and Home Delivery,GA,XLE Premium 8-Passenger,minivan
3FA6P0SU8GR305865,Oxford White,2016,Ford,Fusion Energi,"$18,499","49,699 Miles",Stafford,used,Texas Direct Auto,TX,Titanium,sedan
1FTEW1EF1GKD48184,White,2016,Ford,F-150,"$39,999","57,887 Miles",Pasco,used,Northwest Motorsport - Pasco,WA,XLT,truck
5UXTR9C55KLD96346,Jet Black,2019,BMW,X3,"$32,499","52,496 Miles",Miami,used,Florida Fine Cars Miami,FL,xDrive30i,suv
MAJ6S3GL4MC404256,Diamond White,2021,Ford,EcoSport,"$24,751",New,Ankeny,new,Dewey Ford,IA,SE,crossover
WBXYJ3C34JEJ81960,Misano Blue Metallic,2018,BMW,X2,"$30,399","33,493 Miles",Margate,used,Florida Fine Cars - Margate,FL,sDrive28i,suv
1FMSK7FH9MGB95128,Red,2021,Ford,Explorer,"$50,180",New,Houston,new,Mac Haik Ford Inc.,TX,Limited,suv
1GCHSBEAXK1243600,Black,2019,Chevrolet,Colorado,"$22,498","30,863 Miles",Margate,used,Florida Fine Cars - Margate,FL,Work Truck,truck
3N1CP5CU0KL522561,Blue,2019,Nissan,Kicks,"$21,999","16,496 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,SR,crossover
5YFEPMAE2NP282139,Classic Silver,2022,Toyota,Corolla,"$21,503",New,Phoenix,new,Camelback Toyota,AZ,LE,sedan
1C4BJWFG7GL223917,Gray,2016,Jeep,Wrangler Unlimited,"$44,999","59,646 Miles",Boise,used,Northwest Motorsports - Boise,ID,Rubicon,suv
2T3ZFREV2JW472034,Black,2018,Toyota,RAV4,"$22,998","56,981 Miles",Bakersfield,used,CarMax Bakersfield - Now Open,CA,LE,suv
5YFEPRAEXLP068090,Red,2020,Toyota,Corolla,"$21,998","8,499 Miles",Norcross,used,CarMax Norcross - Now offering Curbside Pickup and Home Delivery,GA,LE,sedan
1FTEW1EP6KKD09642,Black,2019,Ford,F-150,"$49,999","26,518 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,Lariat,truck
1GTR8AEH4LZ137429,Summit White,2020,GMC,Sierra 1500,"$35,999","7,725 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,Base,truck
1FA6P8TH5G5311027,Shadow Black,2016,Ford,Mustang,"$21,999","52,808 Miles",Montclair,used,Montclair Auto Exchange,CA,EcoBoost,coupe
JN8AY2DA7M9373506,Coulis Red Pearl,2021,Nissan,Armada,"$68,610",New,Scottsdale,new,Pinnacle Nissan,AZ,Platinum,suv
5N1AZ2MH9JN107134,Blue,2018,Nissan,Murano,"$34,899","24,396 Miles",Boise,used,Northwest Motorsports - Boise,ID,Platinum,suv
WBXYJ5C50KEF83010,Misano Blue Metallic,2019,BMW,X2,"$34,499","17,967 Miles",Stafford,used,Texas Direct Auto,TX,xDrive28i,suv
KM8J33A22HU460869,Black,2017,Hyundai,Tucson,"$23,124","57,943 Miles",Pasco,used,Northwest Motorsport - Pasco,WA,Limited,suv
5TFUY5F11DX295856,Silver,2013,Toyota,Tundra,"$30,411","81,033 Miles",Pasco,used,Northwest Motorsport - Pasco,WA,Grade,truck
3C4PDDBG1HT618396,Contusion Blue Pearlcoat,2017,Dodge,Journey,"$16,500","66,204 Miles",Santa Rosa,used,Manly Honda,CA,SXT,suv
5NPE34AF9JH676314,Scarlet Red,2018,Hyundai,Sonata,"$19,899","33,579 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,Sport,sedan
3GKALSEX4JL307192,Blue,2018,GMC,Terrain,"$28,350","33,149 Miles",Salem,used,Shift Northern Oregon - Test Drives Delivered to You,OR,Denali,suv
1G1BE5SM7K7115432,Summit White,2019,Chevrolet,Cruze,"$16,478","56,173 Miles",Nottingham,used,Hertz Car Sales Baltimore,MD,LT,sedan
2G1FK3DJ3E9322081,Silver Ice Metallic,2014,Chevrolet,Camaro,"$30,999","31,979 Miles",Santa Ana,used,California Motors Direct1,CA,SS,convertible
1FAHP3HN5BW177908,Silver,2011,Ford,Focus,"$10,998","91,568 Miles",St. Louis,used,CarMax St. Louis South Lindbergh - Now offering Curbside Pickup,MO,SEL,sedan
SALCR2FX1KH784799,Fuji White,2019,Land Rover,Discovery Sport,"$30,999","61,966 Miles",Margate,used,Florida Fine Cars - Margate,FL,HSE,suv
1FTEW1CP6MFD00437,Agate Black Metallic,2021,Ford,F-150,"$41,715",New,Spring,new,Planet Ford,TX,XL,truck
4T1B61HK1KU755801,Wind Chill Pearl,2019,Toyota,Camry,"$28,999","19,872 Miles",Stafford,used,Texas Direct Auto,TX,XSE,sedan
5NPE24AF7JH668926,Quartz White Pearl,2018,Hyundai,Sonata,"$16,998","34,526 Miles",Miami,used,Florida Fine Cars Miami,FL,SE,sedan
WBA8E1G54GNT35638,Brown Metallic,2016,BMW,3 Series,"$18,400","56,157 Miles",South San Francisco,used,Shift SF - Test Drives Delivered to You,CA,320i,sedan
4T1B11HK2KU803479,Midnight Black Metallic,2019,Toyota,Camry,"$23,999","21,710 Miles",Colton,used,IE Auto Exchange,CA,L,sedan
5YJ3E1EA5LF739747,Blue,2020,Tesla,Model 3,"$40,600","25,402 Miles",Sacramento,used,Shift Sacramento - Test Drives Delivered to You,CA,Standard Range Plus,sedan
1GCUYDED4LZ191628,Black,2020,Chevrolet,Silverado 1500,"$52,999","14,035 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,LT,truck
5FNYF5H59KB033498,Crystal Black Pearl,2019,Honda,Pilot,"$28,299","73,022 Miles",Miami,used,Florida Fine Cars Miami,FL,EX-L,suv
3PCAJ5M11KF111498,Majestic White,2019,Infiniti,QX50,"$32,599","28,671 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,Essential,crossover
1C6RR6KG0HS662954,Bright White Clear Coat,2017,Ram,Pickup 1500,"$24,999","56,994 Miles",Stafford,used,Texas Direct Auto,TX,Tradesman,truck
2C3CDXHG8GH188207,Black,2016,Dodge,Charger,"$23,999","66,809 Miles",Pasco,used,Northwest Motorsport - Pasco,WA,SXT,sedan
5XYPG4A35JG412372,Ebony Black,2018,Kia,Sorento,"$17,499","66,761 Miles",Miami,used,Florida Fine Cars Miami,FL,L,suv
4JGDA5JB4HA948768,designo Cardinal Red Metallic,2017,Mercedes-Benz,GLE,"$33,499","39,883 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,GLE 350,suv
JTMDJREV0JD250372,Blue,2018,Toyota,RAV4 Hybrid,"$29,998","52,847 Miles",Lancaster,used,CarMax Lancaster - Now offering Curbside Pickup,PA,Limited,suv
1N4AL3AP2FN397866,Brilliant Silver,2015,Nissan,Altima,"$12,999","82,810 Miles",Bellflower,used,605 Auto Sales,CA,2.5 SV,sedan
