price,make,model,year,mileage,display_color,vin,dealer_name,state,trim,body_style,condition,city
6995,Honda,Civic,2008,144242 ,Galaxy Grey Metallic,2HGFA55528H705853,Paoli Ford,PA,Si,sedan,used,Paoli
4999,MINI,Cooper,2008,97970 ,Pepper White,WMWMF33578TT65596,California Motors Direct1,CA,Base,hatchback,used,Santa Ana
8000,ford,chassis,2008,132379,white,  1fdxf46r08ea18180,167758623,FL,N/A,N/A,used,N/A
450,chevrolet,coupe,2008,123515,yellow,  1g1al18f587145539,167650407,MN,N/A,N/A,used,N/A
3900,Volvo,S60,2008,226184 ,Silver,YV1RS592582688638,The Warehouse Conshohocken,PA,2.5T,sedan,used,Conshohocken
2960,chrysler,van,2008,164048,red,  2a8hr54px8r787529,167660587,FL,N/A,N/A,used,N/A
6300,toyota,cruiser,2008,274117,black,  jtezu11f88k007763,159348797,new jersey,N/A,N/A,used,N/A
1825,bmw,coupe,2008,77984,white,  wbawb33548p132854,167651338,GA,N/A,N/A,used,N/A
6763,Nissan,Pathfinder,2009,241167 ,Red Brick Metallic,5N1AR18B59C612160,Peoria Nissan,AZ,SE,suv,used,Peoria
10400,dodge,coupe,2009,107856,orange,  2b3lj54t49h509675,167753874,GA,N/A,N/A,used,N/A
3330,gmc,mpv,2009,87448,white,  1gtgg25k391106224,167702843,UT,N/A,N/A,used,N/A
3800,chevrolet,van,2009,261648,white,  1gbhg396191112177,167756420,MI,N/A,N/A,used,N/A
10301,Toyota,Venza,2009,171585 ,Sunset Bronze Mica,4T3BK11A39U009333,Piles Chevrolet Buick Incorporated,KY,AWD V6,crossover,used,Dry Ridge
24500,Mercedes-Benz,SLClass,2009,91763 ,Black,WDBSK71F59F156820,Shift SF - Test Drives Delivered to You,CA,SL 550,convertible,used,South San Francisco
6962,Toyota,Camry,2009,180336 ,Red,4T1BE46K49U372095,Heller Ford,IL,SE,sedan,used,El Paso
39502,Chevrolet,Corvette,2010,37845 ,Yellow,1G1YW2DWXA5103791,Stadium Nissan,CA,Z16 Grand Sport,coupe,used,Orange
26998,Ford,F150,2010,47007 ,Red,1FTEW1C86AFB69675,CarMax Louisville - Now offering Curbside Pickup,KY,XLT,truck,used,Louisville
12983,Infiniti,FX35,2010,141679 ,Liquid Platinum Metallic,JN8AS1MW7AM852363,Arlington Heights Buick GMC,IL,Base,suv,used,Arlington Heights
25,chevrolet,truck,2010,149189,white,  3gcrkse37ag234620,167650663,CO,N/A,N/A,used,N/A
25,ford,truck,2010,155242,gray,  1ftfx1ev7akc32939,167357792,OK,N/A,N/A,used,N/A
2220,heartland,country,2010,1,white,  5sfbg3823ae204868,167266337,PA,N/A,N/A,used,N/A
1025,peterbilt,truck,2010,1017936,no_color,  1xp7d49x0ad793710,167529842,GA,N/A,N/A,used,N/A
25,chevrolet,truck,2010,149189,white,  3gcrkse37ag234620,167650663,CO,N/A,N/A,used,N/A
6470,chevrolet,coupe,2010,69622,yellow,  2g1fk1ejxa9163850,167660492,FL,N/A,N/A,used,N/A
7300,chevrolet,truck,2010,149050,black,  1gcsksea1az121133,167753872,GA,N/A,N/A,used,N/A
38695,Chevrolet,Corvette,2010,8262 ,Blade Silver Metallic,1G1YG3DW1A5102452,Anchor Auto,NC,Base,convertible,used,Raleigh
33782,Toyota,FJ Cruiser,2010,68569 ,Sun Fusion,JTEBU4BF0AK095134,Camelback Toyota,AZ,Base,suv,used,Phoenix
10973,Chevrolet,Silverado 2500HD,2010,155475 ,White,1GC5KVBG1AZ272271,Les Mack Automotive,WI,Work Truck,truck,used,Lancaster
14999,Toyota,Tacoma,2010,189563 ,Gray,3TMJU4GNXAM100140,Quebedeaux Buick GMC,AZ,PreRunner V6,truck,used,Tucson
18998,Lexus,LS 460,2010,108166 ,White,JTHCL5EF2A5008280,CarMax Turnersville - Now offering Curbside Pickup,NJ,Base,sedan,used,Sicklerville
8995,Hyundai,Santa Fe,2010,89500 ,White,5NMSHDAG6AH345250,A Better Way Wholesale,CT,SE,suv,used,Naugatuck
13000,Cadillac,Escalade ESV,2010,163703 ,Black Raven,1GYUKJEF2AR198456,LaFontaine Cadillac Buick GMC of Highland,MI,Premium,suv,used,Highland
15998,Subaru,Forester,2010,58942 ,Blue,JF2SH6BC0AG907773,CarMax Boise (Meridian) - Now offering Curbside Pickup,ID,2.5X,crossover,used,Meridian
